14:20:01 [ultranest] [DEBUG] ReactiveNestedSampler: dims=2+0, resume=False, log_dir=./results, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
14:20:01 [ultranest] [INFO] Sampling 400 live points from prior ...
14:20:01 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
14:20:01 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:20:01 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:20:01 [ultranest] [INFO] Explored until L=0.04  
14:20:01 [ultranest] [INFO] Likelihood function evaluations: 400
14:20:01 [ultranest] [INFO] Writing samples and results to disk ...
14:20:01 [ultranest] [INFO] Writing samples and results to disk ... done
14:20:01 [ultranest] [DEBUG] did a run_iter pass!
14:20:01 [ultranest] [INFO]   logZ = 0.01422 +- 0.0001342
14:20:01 [ultranest] [INFO] Effective samples strategy wants to improve: 0.01..0.04 (ESS = 400.0, need >400)
14:20:01 [ultranest] [INFO] Posterior uncertainty strategy is satisfied (KL: 0.46+-0.05 nat, need <0.50 nat)
14:20:01 [ultranest] [DEBUG]   conservative estimate says at least 40 live points are needed to reach dlogz goal
14:20:01 [ultranest] [DEBUG]   number of live points vary between 1 and inf, most (69/129 iterations) have 1
14:20:01 [ultranest] [INFO] Evidency uncertainty strategy wants 40 minimum live points (dlogz from 0.00 to 0.00, need <0.5)
14:20:01 [ultranest] [INFO]   logZ error budget: single: inf bs:0.00 tail:0.69 total:0.69 required:<0.50
14:20:01 [ultranest] [INFO] Widening from 1 to 800 live points before L=0.01...
14:20:01 [ultranest] [INFO] parent value is -inf, so widening roots
14:20:01 [ultranest] [INFO] Widening roots to 800 live points (have 400 already) ...
14:20:01 [ultranest] [INFO] Sampling 400 live points from prior ...
14:20:01 [ultranest] [INFO] Exploring (in particular: L=-inf..0.04) ...
14:20:01 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 800.0), (0.037822363585210426, 800.0), (inf, 400.0)]
14:20:01 [ultranest] [DEBUG] iteration=0, ncalls=837, regioncalls=0, ndraw=128, logz=-inf, remainder_fraction=100.0000%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=393, ncalls=12245, regioncalls=0, ndraw=128, logz=-0.93, remainder_fraction=61.2240%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=400, ncalls=12462, regioncalls=0, ndraw=128, logz=-0.92, remainder_fraction=60.6917%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=411, ncalls=12789, regioncalls=0, ndraw=128, logz=-0.90, remainder_fraction=59.8637%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=423, ncalls=13129, regioncalls=0, ndraw=128, logz=-0.88, remainder_fraction=58.9735%, Lmin=0.01, Lmax=0.04
14:20:05 [ultranest] [DEBUG] iteration=435, ncalls=13491, regioncalls=0, ndraw=128, logz=-0.86, remainder_fraction=58.0966%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=440, ncalls=13659, regioncalls=0, ndraw=128, logz=-0.85, remainder_fraction=57.7350%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=451, ncalls=13994, regioncalls=0, ndraw=128, logz=-0.83, remainder_fraction=56.9475%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=462, ncalls=14345, regioncalls=0, ndraw=128, logz=-0.81, remainder_fraction=56.1718%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=473, ncalls=14686, regioncalls=0, ndraw=128, logz=-0.79, remainder_fraction=55.4060%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=480, ncalls=14897, regioncalls=0, ndraw=128, logz=-0.78, remainder_fraction=54.9243%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=491, ncalls=15240, regioncalls=0, ndraw=128, logz=-0.77, remainder_fraction=54.1761%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=503, ncalls=15608, regioncalls=0, ndraw=128, logz=-0.75, remainder_fraction=53.3711%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=515, ncalls=15974, regioncalls=0, ndraw=128, logz=-0.73, remainder_fraction=52.5773%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=520, ncalls=16143, regioncalls=0, ndraw=128, logz=-0.73, remainder_fraction=52.2500%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=531, ncalls=16491, regioncalls=0, ndraw=128, logz=-0.71, remainder_fraction=51.5382%, Lmin=0.01, Lmax=0.04
14:20:06 [ultranest] [DEBUG] iteration=537, ncalls=16707, regioncalls=0, ndraw=128, logz=-0.70, remainder_fraction=51.1541%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=546, ncalls=17032, regioncalls=0, ndraw=128, logz=-0.69, remainder_fraction=50.5828%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=556, ncalls=17387, regioncalls=0, ndraw=128, logz=-0.68, remainder_fraction=49.9551%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=560, ncalls=17525, regioncalls=0, ndraw=128, logz=-0.67, remainder_fraction=49.7062%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=569, ncalls=17847, regioncalls=0, ndraw=128, logz=-0.66, remainder_fraction=49.1511%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=578, ncalls=18178, regioncalls=0, ndraw=128, logz=-0.65, remainder_fraction=48.6034%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=588, ncalls=18531, regioncalls=0, ndraw=128, logz=-0.64, remainder_fraction=48.0011%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=598, ncalls=18869, regioncalls=0, ndraw=128, logz=-0.63, remainder_fraction=47.4060%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=600, ncalls=18937, regioncalls=0, ndraw=128, logz=-0.63, remainder_fraction=47.2883%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=610, ncalls=19275, regioncalls=0, ndraw=128, logz=-0.62, remainder_fraction=46.7019%, Lmin=0.01, Lmax=0.04
14:20:07 [ultranest] [DEBUG] iteration=620, ncalls=19618, regioncalls=0, ndraw=128, logz=-0.60, remainder_fraction=46.1231%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=630, ncalls=19959, regioncalls=0, ndraw=128, logz=-0.59, remainder_fraction=45.5510%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=640, ncalls=20291, regioncalls=0, ndraw=128, logz=-0.58, remainder_fraction=44.9865%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=651, ncalls=20646, regioncalls=0, ndraw=128, logz=-0.57, remainder_fraction=44.3731%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=661, ncalls=20981, regioncalls=0, ndraw=128, logz=-0.56, remainder_fraction=43.8234%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=671, ncalls=21295, regioncalls=0, ndraw=128, logz=-0.55, remainder_fraction=43.2795%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=680, ncalls=21583, regioncalls=0, ndraw=128, logz=-0.54, remainder_fraction=42.7960%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=691, ncalls=21927, regioncalls=0, ndraw=128, logz=-0.53, remainder_fraction=42.2135%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=701, ncalls=22245, regioncalls=0, ndraw=128, logz=-0.53, remainder_fraction=41.6906%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=711, ncalls=22561, regioncalls=0, ndraw=128, logz=-0.52, remainder_fraction=41.1741%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=716, ncalls=22735, regioncalls=0, ndraw=128, logz=-0.51, remainder_fraction=40.9181%, Lmin=0.01, Lmax=0.04
14:20:08 [ultranest] [DEBUG] iteration=720, ncalls=22876, regioncalls=0, ndraw=128, logz=-0.51, remainder_fraction=40.7148%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=729, ncalls=23207, regioncalls=0, ndraw=128, logz=-0.50, remainder_fraction=40.2603%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=738, ncalls=23564, regioncalls=0, ndraw=128, logz=-0.49, remainder_fraction=39.8109%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=748, ncalls=23931, regioncalls=0, ndraw=128, logz=-0.49, remainder_fraction=39.3172%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=758, ncalls=24276, regioncalls=0, ndraw=128, logz=-0.48, remainder_fraction=38.8299%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=760, ncalls=24346, regioncalls=0, ndraw=128, logz=-0.48, remainder_fraction=38.7331%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=770, ncalls=24720, regioncalls=0, ndraw=128, logz=-0.47, remainder_fraction=38.2526%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=778, ncalls=25056, regioncalls=0, ndraw=128, logz=-0.46, remainder_fraction=37.8726%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=788, ncalls=25396, regioncalls=0, ndraw=128, logz=-0.45, remainder_fraction=37.4029%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=797, ncalls=25726, regioncalls=0, ndraw=128, logz=-0.45, remainder_fraction=36.9858%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=800, ncalls=25837, regioncalls=0, ndraw=128, logz=-0.45, remainder_fraction=36.8475%, Lmin=0.01, Lmax=0.04
14:20:09 [ultranest] [DEBUG] iteration=810, ncalls=26202, regioncalls=0, ndraw=128, logz=-0.44, remainder_fraction=36.3914%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=820, ncalls=26555, regioncalls=0, ndraw=128, logz=-0.43, remainder_fraction=35.9400%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=829, ncalls=26895, regioncalls=0, ndraw=128, logz=-0.42, remainder_fraction=35.5385%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=838, ncalls=27227, regioncalls=0, ndraw=128, logz=-0.42, remainder_fraction=35.1420%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=840, ncalls=27291, regioncalls=0, ndraw=128, logz=-0.42, remainder_fraction=35.0543%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=850, ncalls=27645, regioncalls=0, ndraw=128, logz=-0.41, remainder_fraction=34.6193%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=860, ncalls=27977, regioncalls=0, ndraw=128, logz=-0.40, remainder_fraction=34.1908%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=869, ncalls=28285, regioncalls=0, ndraw=128, logz=-0.40, remainder_fraction=33.8091%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=879, ncalls=28636, regioncalls=0, ndraw=128, logz=-0.39, remainder_fraction=33.3902%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=880, ncalls=28663, regioncalls=0, ndraw=128, logz=-0.39, remainder_fraction=33.3485%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=889, ncalls=28990, regioncalls=0, ndraw=128, logz=-0.39, remainder_fraction=32.9770%, Lmin=0.01, Lmax=0.04
14:20:10 [ultranest] [DEBUG] iteration=895, ncalls=29218, regioncalls=0, ndraw=128, logz=-0.38, remainder_fraction=32.7310%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=904, ncalls=29589, regioncalls=0, ndraw=128, logz=-0.38, remainder_fraction=32.3660%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=913, ncalls=29969, regioncalls=0, ndraw=128, logz=-0.37, remainder_fraction=32.0043%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=920, ncalls=30261, regioncalls=0, ndraw=128, logz=-0.37, remainder_fraction=31.7263%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=929, ncalls=30640, regioncalls=0, ndraw=128, logz=-0.36, remainder_fraction=31.3727%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=937, ncalls=31000, regioncalls=0, ndraw=128, logz=-0.36, remainder_fraction=31.0613%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=946, ncalls=31381, regioncalls=0, ndraw=128, logz=-0.35, remainder_fraction=30.7151%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=953, ncalls=31660, regioncalls=0, ndraw=128, logz=-0.35, remainder_fraction=30.4480%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=960, ncalls=31959, regioncalls=0, ndraw=128, logz=-0.35, remainder_fraction=30.1836%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=969, ncalls=32329, regioncalls=0, ndraw=128, logz=-0.34, remainder_fraction=29.8465%, Lmin=0.01, Lmax=0.04
14:20:11 [ultranest] [DEBUG] iteration=978, ncalls=32715, regioncalls=0, ndraw=128, logz=-0.34, remainder_fraction=29.5132%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=987, ncalls=33088, regioncalls=0, ndraw=128, logz=-0.33, remainder_fraction=29.1840%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=993, ncalls=33338, regioncalls=0, ndraw=128, logz=-0.33, remainder_fraction=28.9662%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1000, ncalls=33636, regioncalls=0, ndraw=128, logz=-0.32, remainder_fraction=28.7152%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1008, ncalls=33971, regioncalls=0, ndraw=128, logz=-0.32, remainder_fraction=28.4304%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1017, ncalls=34332, regioncalls=0, ndraw=128, logz=-0.32, remainder_fraction=28.1133%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1026, ncalls=34707, regioncalls=0, ndraw=128, logz=-0.31, remainder_fraction=27.8003%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1034, ncalls=35058, regioncalls=0, ndraw=128, logz=-0.31, remainder_fraction=27.5256%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1040, ncalls=35313, regioncalls=0, ndraw=128, logz=-0.30, remainder_fraction=27.3212%, Lmin=0.01, Lmax=0.04
14:20:12 [ultranest] [DEBUG] iteration=1048, ncalls=35658, regioncalls=0, ndraw=128, logz=-0.30, remainder_fraction=27.0498%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1056, ncalls=36041, regioncalls=0, ndraw=128, logz=-0.30, remainder_fraction=26.7815%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1064, ncalls=36399, regioncalls=0, ndraw=128, logz=-0.29, remainder_fraction=26.5160%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1073, ncalls=36780, regioncalls=0, ndraw=128, logz=-0.29, remainder_fraction=26.2199%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1077, ncalls=36946, regioncalls=0, ndraw=128, logz=-0.29, remainder_fraction=26.0894%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1080, ncalls=37073, regioncalls=0, ndraw=128, logz=-0.29, remainder_fraction=25.9926%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1089, ncalls=37462, regioncalls=0, ndraw=128, logz=-0.28, remainder_fraction=25.7028%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1097, ncalls=37822, regioncalls=0, ndraw=128, logz=-0.28, remainder_fraction=25.4477%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1105, ncalls=38182, regioncalls=0, ndraw=128, logz=-0.28, remainder_fraction=25.1953%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1114, ncalls=38547, regioncalls=0, ndraw=128, logz=-0.27, remainder_fraction=24.9150%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1120, ncalls=38814, regioncalls=0, ndraw=128, logz=-0.27, remainder_fraction=24.7294%, Lmin=0.01, Lmax=0.04
14:20:13 [ultranest] [DEBUG] iteration=1128, ncalls=39182, regioncalls=0, ndraw=128, logz=-0.27, remainder_fraction=24.4840%, Lmin=0.01, Lmax=0.04
14:20:14 [ultranest] [DEBUG] iteration=1137, ncalls=39564, regioncalls=0, ndraw=128, logz=-0.26, remainder_fraction=24.2117%, Lmin=0.01, Lmax=0.04
14:20:14 [ultranest] [DEBUG] iteration=1145, ncalls=39938, regioncalls=0, ndraw=128, logz=-0.26, remainder_fraction=23.9716%, Lmin=0.01, Lmax=0.04
14:20:14 [ultranest] [DEBUG] iteration=1155, ncalls=40316, regioncalls=0, ndraw=128, logz=-0.26, remainder_fraction=23.6752%, Lmin=0.01, Lmax=0.04
14:20:14 [ultranest] [DEBUG] iteration=1160, ncalls=40536, regioncalls=0, ndraw=128, logz=-0.25, remainder_fraction=23.5284%, Lmin=0.01, Lmax=0.04
